year,level_1,level_2,level_3,level_4,value
2013,Income Decile - 71st - 80th,EDUCATIONAL SERVICES,PRIVATE TUITION AND OTHER EDUCATIONAL COURSES,Centre-Based Tuition,61.8
2013,Income Decile - 71st - 80th,EDUCATIONAL SERVICES,PRIVATE TUITION AND OTHER EDUCATIONAL COURSES,Other Courses,49.2
2013,Income Decile - 71st - 80th,MISCELLANEOUS GOODS AND SERVICES,PERSONAL CARE,Hairdressing Salons and Personal Grooming Establishments,82.1
2013,Income Decile - 71st - 80th,MISCELLANEOUS GOODS AND SERVICES,PERSONAL CARE,Electrical Appliances for Personal Care,2.9
2013,Income Decile - 71st - 80th,MISCELLANEOUS GOODS AND SERVICES,PERSONAL CARE,"Other Appliances, Articles and Products for Personal Care",95.7
2013,Income Decile - 71st - 80th,MISCELLANEOUS GOODS AND SERVICES,OTHER PERSONAL EFFECTS,"Jewellery, Clocks and Watches",13.4
2013,Income Decile - 71st - 80th,MISCELLANEOUS GOODS AND SERVICES,OTHER PERSONAL EFFECTS,Other Personal Effects,40.2
2013,Income Decile - 71st - 80th,MISCELLANEOUS GOODS AND SERVICES,INSURANCE,"Life Insurance (Term only, excluding premiums for whole-life plans with saving component)",97.6
2013,Income Decile - 71st - 80th,MISCELLANEOUS GOODS AND SERVICES,INSURANCE,Housing Insurance,5.7
2013,Income Decile - 71st - 80th,MISCELLANEOUS GOODS AND SERVICES,INSURANCE,Health Insurance,171.6
2013,Income Decile - 71st - 80th,MISCELLANEOUS GOODS AND SERVICES,INSURANCE,Transport Insurance,78.9
2013,Income Decile - 71st - 80th,MISCELLANEOUS GOODS AND SERVICES,INSURANCE,Other Insurance,11.2
2013,Income Decile - 71st - 80th,MISCELLANEOUS GOODS AND SERVICES,OTHER FINANCIAL SERVICES,Other Financial Services n.e.c,0.1
2013,Income Decile - 81st - 90th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Bread and Cereals,87.5
2013,Income Decile - 81st - 90th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Meat,76
2013,Income Decile - 81st - 90th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Fish and Seafood,74
2013,Income Decile - 81st - 90th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,"Milk, Cheese and Eggs",61.2
2013,Income Decile - 81st - 90th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Oils and Fats,8.9
2013,Income Decile - 81st - 90th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Fruits,57
2013,Income Decile - 81st - 90th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Vegetables,55.2
2013,Income Decile - 81st - 90th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,"Sugar, Jam, Honey, Chocolate and Confectionery",21.1
2013,Income Decile - 81st - 90th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Food Products n.e.c,18.3
2013,Income Decile - 81st - 90th,FOOD AND NON-ALCOHOLIC BEVERAGES,NON-ALCOHOLIC BEVERAGES,"Coffee, Tea and Cocoa",12.6
2013,Income Decile - 81st - 90th,FOOD AND NON-ALCOHOLIC BEVERAGES,NON-ALCOHOLIC BEVERAGES,"Mineral Water, Soft Drinks, Fruit and Vegetable Juices",16.4
2013,Income Decile - 81st - 90th,ALCOHOLIC BEVERAGES AND TOBACCO,ALCOHOLIC BEVERAGES,Spirits,3.2
2013,Income Decile - 81st - 90th,ALCOHOLIC BEVERAGES AND TOBACCO,ALCOHOLIC BEVERAGES,Wine,10.3
2013,Income Decile - 81st - 90th,ALCOHOLIC BEVERAGES AND TOBACCO,ALCOHOLIC BEVERAGES,Beer,7
2013,Income Decile - 81st - 90th,CLOTHING AND FOOTWEAR,CLOTHING,Clothing Materials,3.3
2013,Income Decile - 81st - 90th,CLOTHING AND FOOTWEAR,CLOTHING,Garments,165.4
2013,Income Decile - 81st - 90th,CLOTHING AND FOOTWEAR,CLOTHING,Other Clothing and Clothing Accessories,8
2013,Income Decile - 81st - 90th,CLOTHING AND FOOTWEAR,CLOTHING,"Cleaning, Repair and Hire of Clothing",2.9
2013,Income Decile - 81st - 90th,CLOTHING AND FOOTWEAR,FOOTWEAR,Shoes and Other Footwear,47.3
2013,Income Decile - 81st - 90th,CLOTHING AND FOOTWEAR,FOOTWEAR,Repair and Hire of Footwear,0.2
2013,Income Decile - 81st - 90th,HOUSING AND UTILITIES,MAINTENANCE AND REPAIR OF DWELLING,Materials for Maintenance and Repair of Dwelling,2.9
2013,Income Decile - 81st - 90th,HOUSING AND UTILITIES,MAINTENANCE AND REPAIR OF DWELLING,Services for Maintenance and Repair of Dwelling,19
2013,Income Decile - 81st - 90th,HOUSING AND UTILITIES,UTILITIES AND OTHER FUELS,Water Supply and Miscellaneous Services Related to Dwelling,167.7
2013,Income Decile - 81st - 90th,HOUSING AND UTILITIES,UTILITIES AND OTHER FUELS,"Electricity, Gas and Other Fuels",166.3
2013,Income Decile - 81st - 90th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE","FURNITURE AND FURNISHINGS, CARPETS AND OTHER FLOOR COVERINGS",Furniture and Furnishings,61.8
2013,Income Decile - 81st - 90th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE","FURNITURE AND FURNISHINGS, CARPETS AND OTHER FLOOR COVERINGS","Repair of Furniture, Furnishings and Floor Coverings",1.2
2013,Income Decile - 81st - 90th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",HOUSEHOLD APPLIANCES,Major Household Appliances,35.4
2013,Income Decile - 81st - 90th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",HOUSEHOLD APPLIANCES,Small Electrical Household Appliances,16.4
2013,Income Decile - 81st - 90th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",HOUSEHOLD APPLIANCES,Repair of Household Appliances,7.1
2013,Income Decile - 81st - 90th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",TOOLS AND EQUIPMENT FOR HOUSE AND GARDEN,Major Tools and Equipment,2.3
2013,Income Decile - 81st - 90th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",TOOLS AND EQUIPMENT FOR HOUSE AND GARDEN,Small Tools and Miscellaneous Accessories,6.4
2013,Income Decile - 81st - 90th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",GOODS AND SERVICES FOR ROUTINE HOUSEHOLD MAINTENANCE,Non-Durable Household Goods,31.7
2013,Income Decile - 81st - 90th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",GOODS AND SERVICES FOR ROUTINE HOUSEHOLD MAINTENANCE,Domestic Services and Household Services,197
2013,Income Decile - 81st - 90th,HEALTH,"MEDICAL PRODUCTS, APPLIANCES AND EQUIPMENT",Pharmaceutical Products,83.7
2013,Income Decile - 81st - 90th,HEALTH,"MEDICAL PRODUCTS, APPLIANCES AND EQUIPMENT",Other Medical Products,4.5
2013,Income Decile - 81st - 90th,HEALTH,"MEDICAL PRODUCTS, APPLIANCES AND EQUIPMENT",Therapeutic Appliances and Equipment,17.3
2013,Income Decile - 81st - 90th,HEALTH,OUTPATIENT SERVICES,Medical Services,100.2
2013,Income Decile - 81st - 90th,HEALTH,OUTPATIENT SERVICES,Dental Services,39.2
2013,Income Decile - 81st - 90th,HEALTH,OUTPATIENT SERVICES,Paramedical Services,31.5
2013,Income Decile - 81st - 90th,HEALTH,"HOSPITAL, CONVALESCENT AND REHABILITATION SERVICES",Hospital Services,66.8
2013,Income Decile - 81st - 90th,HEALTH,"HOSPITAL, CONVALESCENT AND REHABILITATION SERVICES",Intermediate and Long-Term Care Services,8.7
2013,Income Decile - 81st - 90th,TRANSPORT,PURCHASE OF VEHICLES,Motor Cars,518.4
2013,Income Decile - 81st - 90th,TRANSPORT,PURCHASE OF VEHICLES,Motorcycles,6.1
2013,Income Decile - 81st - 90th,TRANSPORT,PURCHASE OF VEHICLES,Bicycles,1.2
2013,Income Decile - 81st - 90th,TRANSPORT,OPERATION OF PERSONAL TRANSPORT EQUIPMENT,Spare Parts and Accessories for Vehicles,9.7
2013,Income Decile - 81st - 90th,TRANSPORT,OPERATION OF PERSONAL TRANSPORT EQUIPMENT,Fuels and Lubricants for Vehicles,242.7
2013,Income Decile - 81st - 90th,TRANSPORT,OPERATION OF PERSONAL TRANSPORT EQUIPMENT,Maintenance and Repair of Vehicles,81.5
2013,Income Decile - 81st - 90th,TRANSPORT,OPERATION OF PERSONAL TRANSPORT EQUIPMENT,Other Services in respect of Vehicles,193.8
2013,Income Decile - 81st - 90th,TRANSPORT,LAND TRANSPORT SERVICES,Passenger Transport by Railway,33.1
2013,Income Decile - 81st - 90th,TRANSPORT,LAND TRANSPORT SERVICES,Passenger Transport by Road,129.3
2013,Income Decile - 81st - 90th,TRANSPORT,LAND TRANSPORT SERVICES,Combined Passenger Transport by Railway and Road,19.4
2013,Income Decile - 81st - 90th,TRANSPORT,OTHER TRANSPORT SERVICES,Passenger Transport by Air,131.2
2013,Income Decile - 81st - 90th,TRANSPORT,OTHER TRANSPORT SERVICES,Passenger Transport by Sea,1.1
2013,Income Decile - 81st - 90th,TRANSPORT,OTHER TRANSPORT SERVICES,Other Transport Services,0.3
2013,Income Decile - 81st - 90th,COMMUNICATION,POSTAL AND COURIER/DELIVERY SERVICES,Postal Services,2
2013,Income Decile - 81st - 90th,COMMUNICATION,POSTAL AND COURIER/DELIVERY SERVICES,Courier/Delivery Services,0.9
2013,Income Decile - 81st - 90th,RECREATION AND CULTURE,"AUDIO-VISUAL, PHOTOGRAPHIC AND INFORMATION PROCESSING EQUIPMENT",Audio-Visual Equipment and Accessories,18.2
2013,Income Decile - 81st - 90th,RECREATION AND CULTURE,"AUDIO-VISUAL, PHOTOGRAPHIC AND INFORMATION PROCESSING EQUIPMENT",Optical and Photographic Goods,5.1
2013,Income Decile - 81st - 90th,RECREATION AND CULTURE,"AUDIO-VISUAL, PHOTOGRAPHIC AND INFORMATION PROCESSING EQUIPMENT",Information Processing Equipment,24.5
2013,Income Decile - 81st - 90th,RECREATION AND CULTURE,"AUDIO-VISUAL, PHOTOGRAPHIC AND INFORMATION PROCESSING EQUIPMENT",Recording Media,5.6
2013,Income Decile - 81st - 90th,RECREATION AND CULTURE,"AUDIO-VISUAL, PHOTOGRAPHIC AND INFORMATION PROCESSING EQUIPMENT","Repair of Audio-Visual, Photographic and Information Processing Equipment",2.5
2013,Income Decile - 81st - 90th,RECREATION AND CULTURE,"OTHER RECREATIONAL GOODS, GARDENS AND PETS",Other Major Durables for Recreation and Culture,3.8
2013,Income Decile - 81st - 90th,RECREATION AND CULTURE,"OTHER RECREATIONAL GOODS, GARDENS AND PETS","Other Recreational Items and Equipment, Gardens and Pets",51.6
2013,Income Decile - 81st - 90th,RECREATION AND CULTURE,RECREATIONAL AND CULTURAL SERVICES,Recreational and Sporting Services,77.7
2013,Income Decile - 81st - 90th,RECREATION AND CULTURE,RECREATIONAL AND CULTURAL SERVICES,Cultural Services,85.6
2013,Income Decile - 81st - 90th,RECREATION AND CULTURE,RECREATIONAL AND CULTURAL SERVICES,Games of Chance,47.6
2013,Income Decile - 81st - 90th,RECREATION AND CULTURE,"NEWSPAPERS, BOOKS AND STATIONERY",Books,13.9
2013,Income Decile - 81st - 90th,RECREATION AND CULTURE,"NEWSPAPERS, BOOKS AND STATIONERY",Newspapers and Periodicals,14.2
2013,Income Decile - 81st - 90th,RECREATION AND CULTURE,"NEWSPAPERS, BOOKS AND STATIONERY",Miscellaneous Printed Materials,0.7
2013,Income Decile - 81st - 90th,RECREATION AND CULTURE,"NEWSPAPERS, BOOKS AND STATIONERY",Stationery and Drawing Materials,11.5
2013,Income Decile - 81st - 90th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",Pre-Primary and Primary Education,70.6
2013,Income Decile - 81st - 90th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",Secondary Education,22.8
2013,Income Decile - 81st - 90th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",Post-Secondary Education (Non-Tertiary),11.7
2013,Income Decile - 81st - 90th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",Polytechnic Education,8.4
2013,Income Decile - 81st - 90th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",Professional Qualification and Other Diploma Courses,2.4
2013,Income Decile - 81st - 90th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",University Education,136.9
2013,Income Decile - 81st - 90th,EDUCATIONAL SERVICES,PRIVATE TUITION AND OTHER EDUCATIONAL COURSES,Home-Based Tuition,55
2013,Income Decile - 81st - 90th,EDUCATIONAL SERVICES,PRIVATE TUITION AND OTHER EDUCATIONAL COURSES,Centre-Based Tuition,66.9
2013,Income Decile - 81st - 90th,EDUCATIONAL SERVICES,PRIVATE TUITION AND OTHER EDUCATIONAL COURSES,Other Courses,46.6
2013,Income Decile - 81st - 90th,MISCELLANEOUS GOODS AND SERVICES,PERSONAL CARE,Hairdressing Salons and Personal Grooming Establishments,116.4
2013,Income Decile - 81st - 90th,MISCELLANEOUS GOODS AND SERVICES,PERSONAL CARE,Electrical Appliances for Personal Care,1.1
2013,Income Decile - 81st - 90th,MISCELLANEOUS GOODS AND SERVICES,PERSONAL CARE,"Other Appliances, Articles and Products for Personal Care",119.4
2013,Income Decile - 81st - 90th,MISCELLANEOUS GOODS AND SERVICES,OTHER PERSONAL EFFECTS,"Jewellery, Clocks and Watches",10.3
2013,Income Decile - 81st - 90th,MISCELLANEOUS GOODS AND SERVICES,OTHER PERSONAL EFFECTS,Other Personal Effects,60.5
2013,Income Decile - 81st - 90th,MISCELLANEOUS GOODS AND SERVICES,INSURANCE,"Life Insurance (Term only, excluding premiums for whole-life plans with saving component)",112.5
2013,Income Decile - 81st - 90th,MISCELLANEOUS GOODS AND SERVICES,INSURANCE,Housing Insurance,8.2
2013,Income Decile - 81st - 90th,MISCELLANEOUS GOODS AND SERVICES,INSURANCE,Health Insurance,197.8
2013,Income Decile - 81st - 90th,MISCELLANEOUS GOODS AND SERVICES,INSURANCE,Transport Insurance,103.9
2013,Income Decile - 81st - 90th,MISCELLANEOUS GOODS AND SERVICES,INSURANCE,Other Insurance,16.5
2013,Income Decile - 81st - 90th,MISCELLANEOUS GOODS AND SERVICES,OTHER FINANCIAL SERVICES,Other Financial Services n.e.c,3.1
2013,Income Decile - 91st - 100th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Bread and Cereals,79.7
2013,Income Decile - 91st - 100th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Meat,70.9
2013,Income Decile - 91st - 100th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Fish and Seafood,62.7
2013,Income Decile - 91st - 100th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,"Milk, Cheese and Eggs",46.1
2013,Income Decile - 91st - 100th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Oils and Fats,7.9
2013,Income Decile - 91st - 100th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Fruits,64.7
2013,Income Decile - 91st - 100th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Vegetables,55.8
2013,Income Decile - 91st - 100th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,"Sugar, Jam, Honey, Chocolate and Confectionery",24.3
2013,Income Decile - 91st - 100th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Food Products n.e.c,17.7
2013,Income Decile - 91st - 100th,FOOD AND NON-ALCOHOLIC BEVERAGES,NON-ALCOHOLIC BEVERAGES,"Coffee, Tea and Cocoa",13.1
2013,Income Decile - 91st - 100th,FOOD AND NON-ALCOHOLIC BEVERAGES,NON-ALCOHOLIC BEVERAGES,"Mineral Water, Soft Drinks, Fruit and Vegetable Juices",16.4
2013,Income Decile - 91st - 100th,ALCOHOLIC BEVERAGES AND TOBACCO,ALCOHOLIC BEVERAGES,Spirits,8.3
2013,Income Decile - 91st - 100th,ALCOHOLIC BEVERAGES AND TOBACCO,ALCOHOLIC BEVERAGES,Wine,21.7
2013,Income Decile - 91st - 100th,ALCOHOLIC BEVERAGES AND TOBACCO,ALCOHOLIC BEVERAGES,Beer,8.6
2013,Income Decile - 91st - 100th,CLOTHING AND FOOTWEAR,CLOTHING,Clothing Materials,3.2
2013,Income Decile - 91st - 100th,CLOTHING AND FOOTWEAR,CLOTHING,Garments,199.7
2013,Income Decile - 91st - 100th,CLOTHING AND FOOTWEAR,CLOTHING,Other Clothing and Clothing Accessories,9.5
2013,Income Decile - 91st - 100th,CLOTHING AND FOOTWEAR,CLOTHING,"Cleaning, Repair and Hire of Clothing",5.6
2013,Income Decile - 91st - 100th,CLOTHING AND FOOTWEAR,FOOTWEAR,Shoes and Other Footwear,54.9
2013,Income Decile - 91st - 100th,CLOTHING AND FOOTWEAR,FOOTWEAR,Repair and Hire of Footwear,0.8
2013,Income Decile - 91st - 100th,HOUSING AND UTILITIES,MAINTENANCE AND REPAIR OF DWELLING,Materials for Maintenance and Repair of Dwelling,0.8
2013,Income Decile - 91st - 100th,HOUSING AND UTILITIES,MAINTENANCE AND REPAIR OF DWELLING,Services for Maintenance and Repair of Dwelling,22.9
2013,Income Decile - 91st - 100th,HOUSING AND UTILITIES,UTILITIES AND OTHER FUELS,Water Supply and Miscellaneous Services Related to Dwelling,235.3
2013,Income Decile - 91st - 100th,HOUSING AND UTILITIES,UTILITIES AND OTHER FUELS,"Electricity, Gas and Other Fuels",193.6
2013,Income Decile - 91st - 100th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE","FURNITURE AND FURNISHINGS, CARPETS AND OTHER FLOOR COVERINGS",Furniture and Furnishings,82
2013,Income Decile - 91st - 100th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE","FURNITURE AND FURNISHINGS, CARPETS AND OTHER FLOOR COVERINGS",Carpets and Other Floor Coverings,0.2
2013,Income Decile - 91st - 100th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE","FURNITURE AND FURNISHINGS, CARPETS AND OTHER FLOOR COVERINGS","Repair of Furniture, Furnishings and Floor Coverings",8.5
2013,Income Decile - 91st - 100th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",HOUSEHOLD APPLIANCES,Major Household Appliances,35.2
2013,Income Decile - 91st - 100th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",HOUSEHOLD APPLIANCES,Small Electrical Household Appliances,8.6
2013,Income Decile - 91st - 100th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",HOUSEHOLD APPLIANCES,Repair of Household Appliances,10.2
2013,Income Decile - 91st - 100th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",TOOLS AND EQUIPMENT FOR HOUSE AND GARDEN,Major Tools and Equipment,0.4
2013,Income Decile - 91st - 100th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",TOOLS AND EQUIPMENT FOR HOUSE AND GARDEN,Small Tools and Miscellaneous Accessories,10.8
2013,Income Decile - 91st - 100th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",GOODS AND SERVICES FOR ROUTINE HOUSEHOLD MAINTENANCE,Non-Durable Household Goods,34.3
2013,Income Decile - 91st - 100th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",GOODS AND SERVICES FOR ROUTINE HOUSEHOLD MAINTENANCE,Domestic Services and Household Services,269
2013,Income Decile - 91st - 100th,HEALTH,"MEDICAL PRODUCTS, APPLIANCES AND EQUIPMENT",Pharmaceutical Products,102.8
2013,Income Decile - 91st - 100th,HEALTH,"MEDICAL PRODUCTS, APPLIANCES AND EQUIPMENT",Other Medical Products,3.9
2013,Income Decile - 91st - 100th,HEALTH,"MEDICAL PRODUCTS, APPLIANCES AND EQUIPMENT",Therapeutic Appliances and Equipment,23.1
2013,Income Decile - 91st - 100th,HEALTH,OUTPATIENT SERVICES,Medical Services,93
2013,Income Decile - 91st - 100th,HEALTH,OUTPATIENT SERVICES,Dental Services,26.6
2013,Income Decile - 91st - 100th,HEALTH,OUTPATIENT SERVICES,Paramedical Services,46.1
2013,Income Decile - 91st - 100th,HEALTH,"HOSPITAL, CONVALESCENT AND REHABILITATION SERVICES",Hospital Services,80.9
2013,Income Decile - 91st - 100th,HEALTH,"HOSPITAL, CONVALESCENT AND REHABILITATION SERVICES",Intermediate and Long-Term Care Services,5
2013,Income Decile - 91st - 100th,TRANSPORT,PURCHASE OF VEHICLES,Motor Cars,623.2
2013,Income Decile - 91st - 100th,TRANSPORT,PURCHASE OF VEHICLES,Motorcycles,0.6
2013,Income Decile - 91st - 100th,TRANSPORT,PURCHASE OF VEHICLES,Bicycles,0.2
2013,Income Decile - 91st - 100th,TRANSPORT,OPERATION OF PERSONAL TRANSPORT EQUIPMENT,Spare Parts and Accessories for Vehicles,13.5
2013,Income Decile - 91st - 100th,TRANSPORT,OPERATION OF PERSONAL TRANSPORT EQUIPMENT,Fuels and Lubricants for Vehicles,253.4
2013,Income Decile - 91st - 100th,TRANSPORT,OPERATION OF PERSONAL TRANSPORT EQUIPMENT,Maintenance and Repair of Vehicles,98.5
2013,Income Decile - 91st - 100th,TRANSPORT,OPERATION OF PERSONAL TRANSPORT EQUIPMENT,Other Services in respect of Vehicles,229.8
2013,Income Decile - 91st - 100th,TRANSPORT,LAND TRANSPORT SERVICES,Passenger Transport by Railway,22.7
2013,Income Decile - 91st - 100th,TRANSPORT,LAND TRANSPORT SERVICES,Passenger Transport by Road,128.7
2013,Income Decile - 91st - 100th,TRANSPORT,LAND TRANSPORT SERVICES,Combined Passenger Transport by Railway and Road,10.5
2013,Income Decile - 91st - 100th,TRANSPORT,OTHER TRANSPORT SERVICES,Passenger Transport by Air,237.6
2013,Income Decile - 91st - 100th,TRANSPORT,OTHER TRANSPORT SERVICES,Passenger Transport by Sea,1.5
2013,Income Decile - 91st - 100th,TRANSPORT,OTHER TRANSPORT SERVICES,Other Transport Services,0.4
2013,Income Decile - 91st - 100th,COMMUNICATION,POSTAL AND COURIER/DELIVERY SERVICES,Postal Services,3.3
2013,Income Decile - 91st - 100th,COMMUNICATION,POSTAL AND COURIER/DELIVERY SERVICES,Courier/Delivery Services,1.3
2013,Income Decile - 91st - 100th,RECREATION AND CULTURE,"AUDIO-VISUAL, PHOTOGRAPHIC AND INFORMATION PROCESSING EQUIPMENT",Audio-Visual Equipment and Accessories,28
2013,Income Decile - 91st - 100th,RECREATION AND CULTURE,"AUDIO-VISUAL, PHOTOGRAPHIC AND INFORMATION PROCESSING EQUIPMENT",Optical and Photographic Goods,6.2
2013,Income Decile - 91st - 100th,RECREATION AND CULTURE,"AUDIO-VISUAL, PHOTOGRAPHIC AND INFORMATION PROCESSING EQUIPMENT",Information Processing Equipment,34.2
2013,Income Decile - 91st - 100th,RECREATION AND CULTURE,"AUDIO-VISUAL, PHOTOGRAPHIC AND INFORMATION PROCESSING EQUIPMENT",Recording Media,8.4
2013,Income Decile - 91st - 100th,RECREATION AND CULTURE,"AUDIO-VISUAL, PHOTOGRAPHIC AND INFORMATION PROCESSING EQUIPMENT","Repair of Audio-Visual, Photographic and Information Processing Equipment",2.9
2013,Income Decile - 91st - 100th,RECREATION AND CULTURE,"OTHER RECREATIONAL GOODS, GARDENS AND PETS",Other Major Durables for Recreation and Culture,4.9
2013,Income Decile - 91st - 100th,RECREATION AND CULTURE,"OTHER RECREATIONAL GOODS, GARDENS AND PETS","Other Recreational Items and Equipment, Gardens and Pets",81.3
2013,Income Decile - 91st - 100th,RECREATION AND CULTURE,RECREATIONAL AND CULTURAL SERVICES,Recreational and Sporting Services,94.1
2013,Income Decile - 91st - 100th,RECREATION AND CULTURE,RECREATIONAL AND CULTURAL SERVICES,Cultural Services,80.3
2013,Income Decile - 91st - 100th,RECREATION AND CULTURE,RECREATIONAL AND CULTURAL SERVICES,Games of Chance,32.8
2013,Income Decile - 91st - 100th,RECREATION AND CULTURE,"NEWSPAPERS, BOOKS AND STATIONERY",Books,13.7
2013,Income Decile - 91st - 100th,RECREATION AND CULTURE,"NEWSPAPERS, BOOKS AND STATIONERY",Newspapers and Periodicals,15.3
2013,Income Decile - 91st - 100th,RECREATION AND CULTURE,"NEWSPAPERS, BOOKS AND STATIONERY",Miscellaneous Printed Materials,1.6
2013,Income Decile - 91st - 100th,RECREATION AND CULTURE,"NEWSPAPERS, BOOKS AND STATIONERY",Stationery and Drawing Materials,12.9
2013,Income Decile - 91st - 100th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",Pre-Primary and Primary Education,76.9
2013,Income Decile - 91st - 100th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",Secondary Education,58.8
2013,Income Decile - 91st - 100th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",Post-Secondary Education (Non-Tertiary),28.7
2013,Income Decile - 91st - 100th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",Polytechnic Education,2.5
2013,Income Decile - 91st - 100th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",Professional Qualification and Other Diploma Courses,12.7
2013,Income Decile - 91st - 100th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",University Education,226.9
2013,Income Decile - 91st - 100th,EDUCATIONAL SERVICES,PRIVATE TUITION AND OTHER EDUCATIONAL COURSES,Home-Based Tuition,70
2013,Income Decile - 91st - 100th,EDUCATIONAL SERVICES,PRIVATE TUITION AND OTHER EDUCATIONAL COURSES,Centre-Based Tuition,63.9
2013,Income Decile - 91st - 100th,EDUCATIONAL SERVICES,PRIVATE TUITION AND OTHER EDUCATIONAL COURSES,Other Courses,47.5
2013,Income Decile - 91st - 100th,MISCELLANEOUS GOODS AND SERVICES,PERSONAL CARE,Hairdressing Salons and Personal Grooming Establishments,151.4
2013,Income Decile - 91st - 100th,MISCELLANEOUS GOODS AND SERVICES,PERSONAL CARE,Electrical Appliances for Personal Care,1
2013,Income Decile - 91st - 100th,MISCELLANEOUS GOODS AND SERVICES,PERSONAL CARE,"Other Appliances, Articles and Products for Personal Care",120
2013,Income Decile - 91st - 100th,MISCELLANEOUS GOODS AND SERVICES,OTHER PERSONAL EFFECTS,"Jewellery, Clocks and Watches",17.8
2013,Income Decile - 91st - 100th,MISCELLANEOUS GOODS AND SERVICES,OTHER PERSONAL EFFECTS,Other Personal Effects,62.1
2013,Income Decile - 91st - 100th,MISCELLANEOUS GOODS AND SERVICES,INSURANCE,"Life Insurance (Term only, excluding premiums for whole-life plans with saving component)",132.5
2013,Income Decile - 91st - 100th,MISCELLANEOUS GOODS AND SERVICES,INSURANCE,Housing Insurance,14.5
